Theta2_0, Theta2_1, Theta2_2, Theta2_3, Theta2_4, Theta2_5, Theta2_6, Theta2_7, Theta2_8, Theta2_9, Theta2_10, Theta2_11, Theta2_12, Theta2_13, Theta2_14, Theta2_15, Theta2_16, Theta2_17, Theta2_18, Theta2_19, Theta2_20, Theta2_21, Theta2_22, Theta2_23, Theta2_24, Theta2_25
-4.215182886888461100e-01,-7.525992101710218818e-02,1.156720340055645613e+00,-6.080062791812571588e-01,-1.365356948115145963e+00,-5.962330447472132811e-01,-9.402023230561795675e-01,-1.223542829107066243e+00,-6.946920827407976340e-01,-2.491183826714741922e+00,-1.427992955861442814e+00,8.903361252497593581e-01,-2.230700478720203606e+00,3.866528863064120913e-01,-6.429362361183884600e-01,-1.377935792595003761e+00,-2.383169878607334535e+00,1.271160356181566753e+00,-1.009600935432847790e-01,1.602980820661018768e+00,8.590655504040913826e-01,1.375256699344223010e+00,-1.756120841715253622e+00,1.037396894296569005e+00,1.825993940667640925e-01,1.086099028786391640e+00
-6.244535235291367448e-01,4.928294223541119234e-01,8.731098108666088820e-01,1.946498479055623454e+00,-4.155795535850607125e-01,-1.092504976642860059e+00,-1.414567405380306786e+00,1.588103799329504406e+00,8.760495957260571176e-01,-7.227863247835822902e-01,-5.265546479856003659e-01,-2.541547551140230343e+00,-2.080956126224689784e-01,-1.102543813998082545e+00,-1.937203024661404038e+00,-3.231812984506599928e+00,2.050776128677416210e+00,-2.117487439566674290e+00,1.006702734624510542e+00,-1.394796945553051559e+00,1.058772986494977732e-02,4.183737859799365189e-01,-1.992577995312878825e+00,-8.110735513482963954e-02,6.664241692307908416e-01,-6.141144140794752015e-01
-7.029176068594044091e-01,-2.331874834468556479e+00,1.263139754127950098e+00,-1.495785320831801490e+00,2.307915384630609079e+00,-1.369519794585822625e+00,2.428435078678986558e-01,-1.755754065164603750e+00,-1.170037131089625371e+00,1.829909985788407134e+00,-6.617263125002018631e-01,5.410196601697482288e-01,-1.028891607592901103e-01,5.176395753453862936e-01,-4.880680935147686805e-03,-2.028261751762045595e+00,1.083516749428195647e+00,4.871625996024624428e-01,1.438666590926177512e-02,-1.332596904005948213e+00,-6.204149784294661352e-01,-1.244398576546625446e+00,-2.623963924901818068e+00,8.549806983165487706e-01,-2.823043607986205128e+00,2.507783003841750902e-01
-7.516806179315516090e-01,-2.747346216223598869e+00,-1.253312304099820640e+00,2.579319370519904120e-01,1.259127777724812880e+00,1.450097693387027320e+00,-2.503441046318135577e+00,1.154566789207708055e+00,-7.747502268359622857e-01,2.160148779365837213e-01,-9.446333342974221337e-01,-3.050377318925208692e-01,-7.764810236935975052e-01,7.733749257938863364e-01,-1.793490780782731386e+00,5.721826325121984747e-01,-5.604920993321407252e-01,-1.977533295831934268e+00,-1.182691676817066107e+00,1.838200764111018293e+00,-1.065200083455654756e+00,1.777547732327873664e+00,1.129188963485054709e+00,-1.475668163426028023e+00,7.096173440146924527e-01,-2.926584823024376725e+00
-4.701833055983156151e-01,1.338533752238344032e+00,-1.593152773968560920e+00,-1.830869787023130080e+00,-1.910702834825738661e+00,1.135101131341685221e+00,1.389428362091201130e+00,1.066985988887220405e+00,-1.524108316005594155e+00,-9.470295962105628185e-01,-1.202695600492794670e+00,-1.611718045635016638e+00,-2.718020674515713608e+00,1.888983490174712898e+00,1.622154472977051176e+00,-8.244065690414992265e-02,4.515993370329629553e-01,1.272464545176623663e+00,-2.421040931846529798e+00,-1.176439334696658845e+00,-6.983338034014135998e-01,1.074816354843538324e+00,3.529659390913147954e-01,2.060866008587516340e+00,-2.421682183709295000e+00,-1.425598768629567026e+00
-1.058993043690673819e+00,2.205643190406343934e-01,-2.554633306782570834e+00,1.421083596783285552e+00,-2.101700345164307038e+00,-2.282765121540263620e-01,6.217736050949947968e-01,9.671092692807118363e-01,-4.518144239944514862e-01,-2.683459585626581934e-01,-1.707172778627561671e+00,-2.607635516946212206e+00,-4.302903513494947263e-01,6.847414992590931948e-02,9.781865861150547126e-01,8.075139655037109065e-01,-2.179517435914622325e+00,-1.108810960570503212e+00,1.015767475079121684e+00,2.831086231051384683e+00,-1.067425742066483441e+00,-3.084269557482928747e-01,-2.266150479552754060e+00,-1.380726753468741519e+00,3.912219805405899864e-01,1.200136809541824112e+00
-6.445177102723579354e-01,-1.112133902919451245e+00,2.752375522617575565e-01,-7.346725054565094171e-01,1.253673548898933898e+00,4.189722988160526351e-01,1.801259153426164161e+00,-1.227914623995474575e+00,1.242364299684690421e+00,-3.533994987220675732e+00,-4.024877754735807778e-01,9.609907012791020220e-01,-3.644905103092055398e-01,5.800350921683699035e-01,1.846389129350968494e-01,-1.478038319344540996e+00,-8.704256809472417367e-02,-1.384760209053554236e+00,-1.451723789801365738e+00,-5.973579505784297750e-01,1.678621132303163677e+00,-1.902883677478907742e+00,1.010137995535567601e+00,-2.145296307249855872e+00,8.424073840932391199e-01,-5.774035024487241818e-01
-1.145194415315621717e+00,-3.492704042284852095e-01,1.877252429787555077e-01,-2.342821149620202714e+00,-3.005733909797593029e+00,-1.414070778429549646e+00,-1.785751891794864488e+00,7.672161555917477171e-01,-1.363514365580153154e+00,3.610118325844245968e-01,4.584503432682860424e-01,5.453917574456736972e-01,1.128944717237014395e+00,-2.239353010020893819e+00,-2.108578168922979668e+00,1.909672183646838883e+00,-1.244428625917339964e-01,-4.354623175292106629e-01,-2.023571815878086433e+00,-1.731937215290538123e+00,-1.036673323322131246e+00,-2.721744925690816164e+00,-3.619597608303095071e-01,1.723318659609890169e+00,2.574047521264657412e+00,-4.741195343421650832e-01
-5.426927339929163985e-01,-3.235590004091458693e-01,-1.822702010024203068e+00,-6.183907895998167481e-01,1.606247524672242077e+00,-2.501827888851236192e+00,-1.223997339481641022e+00,-3.251273431172945205e-01,-8.770519015630492410e-01,2.547154974876724598e+00,-1.241888439668395794e+00,9.377218552687315301e-01,-9.748306819846560556e-01,-2.351788599099282617e+00,1.119298186126897354e+00,1.581121105725952880e+00,-2.079211270979579140e+00,-1.639365206001734743e+00,-2.056543650796680001e-01,-3.481079924577300311e+00,1.578730974559037881e+00,1.069115269404240731e+00,7.083327168994296708e-01,-1.490235550494426464e+00,-9.150583154420151022e-01,1.043008107867905210e+00
-1.092661607985548011e+00,8.851535487072658137e-01,-1.568770631086684464e+00,1.069892040178506809e+00,-6.344972790649108241e-01,6.470868140356870191e-01,6.584308576978020744e-01,-2.349619261216939314e+00,1.772127202964749904e+00,6.112186931914553173e-02,-3.011774236941069938e-01,-1.992643783226440757e+00,-4.038560081944486679e-01,-2.462725983952977593e+00,-1.076306864833969090e+00,1.675548710360426352e-01,4.383110547477448438e-01,1.066659133607690713e+00,1.000636566822974860e+00,-7.275310278015192367e-01,-1.075120710126087342e+00,-1.823902294894796050e+00,1.980217885638264175e+00,-2.042940738791264366e+00,-2.036791051478286541e+00,-1.257901413481109953e+00
